k,w,tool,damage_level,read_length,subsampling_rate,mito_correct,mito_incorrect,mito_mapped,mito_unmapped,bacteria_mapped,bacteria_unmapped,numt_mapped,numt_unmapped,precision,sensitivity,specificity,f1,accuracy,TP,FP,TN,FN
15,15,SAFARI,Single-stranded,125,0.75,224406,350,224406,520,1,75413,39,270,0.9998217834133822,0.9961380706333565,0.9994717589107669,0.9979765277215702,0.9969767341419739,224406,40,75683,870
15,15,vg giraffe,Single-stranded,125,0.7,209617,328,209617,488,1,70489,37,256,0.9998187498509457,0.9961222812011424,0.9994631479310003,0.9979670926091676,0.9969631884387802,209617,38,70745,816
15,15,SAFARI,Single-stranded,125,0.7,209617,328,209617,488,1,70489,37,256,0.9998187498509457,0.9961222812011424,0.9994631479310003,0.9979670926091676,0.9969631884387802,209617,38,70745,816
15,15,vg giraffe,Single-stranded,125,0.85,254285,400,254285,613,1,85291,45,302,0.9998191333341198,0.9960320879912886,0.9994628615467253,0.9979220177815628,0.9968938542897955,254285,46,85593,1013
15,15,SAFARI,Single-stranded,125,0.85,254285,400,254285,613,1,85291,45,302,0.9998191333341198,0.9960320879912886,0.9994628615467253,0.9979220177815628,0.9968938542897955,254285,46,85593,1013
15,15,vg giraffe,Single-stranded,125,0.8,239205,376,239205,570,1,80299,43,287,0.9998160911853341,0.9960608117392807,0.9994542974079127,0.9979349186483103,0.9969137823000739,239205,44,80586,946
15,15,SAFARI,Single-stranded,125,0.8,239205,376,239205,570,1,80299,43,287,0.9998160911853341,0.9960608117392807,0.9994542974079127,0.9979349186483103,0.9969137823000739,239205,44,80586,946
15,15,vg giraffe,Single-stranded,125,0.95,284043,450,284043,684,1,95218,49,338,0.9998240012953504,0.9960235222335602,0.9994770202706943,0.9979201433414724,0.9968906174908019,284043,50,95556,1134
15,15,SAFARI,Single-stranded,125,0.95,284043,450,284043,684,1,95218,49,338,0.9998240012953504,0.9960235222335602,0.9994770202706943,0.9979201433414724,0.9968906174908019,284043,50,95556,1134
15,15,vg giraffe,Single-stranded,125,0.9,269102,422,269102,652,1,90238,46,318,0.9998253755354841,0.9960248134549331,0.9994812533801309,0.9979214759189727,0.9968928346716411,269102,47,90556,1074
15,15,SAFARI,Single-stranded,125,0.9,269102,422,269102,652,1,90238,46,318,0.9998253755354841,0.9960248134549331,0.9994812533801309,0.9979214759189727,0.9968928346716411,269102,47,90556,1074
